run_id,time,node_id,x,y,neighbor_count,avg_rssi,tx_packets,rx_packets,lost_packets,delay_sum
9,1.0,0.0,72.955,1.839,1.0,-3.993,0,0,0,0.0
9,1.0,1.0,477.05,418.62,3.0,-37.57,0,0,0,0.0
9,1.0,2.0,22.462,160.934,2.0,-41.436,0,0,0,0.0
9,1.0,3.0,477.311,378.324,2.0,-35.513,0,0,0,0.0
9,1.0,4.0,272.095,354.846,0.0,-1000.0,0,0,0,0.0
9,1.0,5.0,168.555,273.681,4.0,-41.369,0,0,0,0.0
9,1.0,6.0,378.074,213.484,2.0,-34.178,0,0,0,0.0
9,1.0,7.0,342.84,27.757,5.0,-33.466,0,0,0,0.0
9,1.0,8.0,99.75,226.929,4.0,-28.271,0,0,0,0.0
9,1.0,9.0,369.152,235.696,2.0,-32.29,0,0,0,0.0
9,1.0,10.0,490.547,312.19,1.0,-38.869,0,0,0,0.0
9,1.0,11.0,135.772,402.386,2.0,-41.704,0,0,0,0.0
9,1.0,12.0,442.158,493.225,4.0,-38.389,0,0,0,0.0
9,1.0,13.0,77.591,2.016,1.0,-3.993,0,0,0,0.0
9,1.0,14.0,364.798,26.989,5.0,-36.346,0,0,0,0.0
9,1.0,15.0,91.69,188.198,5.0,-36.029,0,0,0,0.0
9,1.0,16.0,331.133,50.21,5.0,-32.216,0,0,0,0.0
9,1.0,17.0,331.845,83.419,5.0,-35.903,0,0,0,0.0
9,1.0,18.0,361.849,304.54,2.0,-41.096,0,0,0,0.0
9,1.0,19.0,142.045,493.956,1.0,-42.883,0,0,0,0.0
9,1.0,20.0,271.86,56.259,6.0,-36.392,0,0,0,0.0
9,1.0,21.0,495.198,484.732,2.0,-37.492,0,0,0,0.0
9,1.0,22.0,380.16,489.306,2.0,-25.463,0,0,0,0.0
9,1.0,23.0,144.816,130.033,2.0,-42.36,0,0,0,0.0
9,1.0,24.0,280.067,64.421,6.0,-35.76,0,0,0,0.0
9,1.0,25.0,184.521,39.681,3.0,-43.375,0,0,0,0.0
9,1.0,26.0,84.708,226.866,5.0,-31.111,0,0,0,0.0
